"FullName","Length","LastWriteTime"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\.gitignore","113","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\.safety.patch","0","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\AGENTS.md","2970","05/10/2025 9:10:01"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\Cómo usarlo.txt","689","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\deleted_nonmedia_duplicates.csv","70801","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\deleted_nonmedia_duplicates_missing.csv","915","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\detect_drive_changes.ps1","10566","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\dupes_confirmed.csv","3233","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\hybrid_dedup.ps1","7515","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\identify-duplicates.ps1","5138","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.csv","5510997","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.html","461210","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.txt","7516623","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\inventory_by_folder.csv","7831843","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\inventory_folder_index.txt","1536002","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\listado_archivos.csv","0","09/10/2025 10:55:33"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\make_inventory_offline.ps1","34004","04/10/2025 5:55:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\move-duplicates.ps1","4063","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\moved_duplicates_I.csv","50701","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\move_duplicates.ps1","6036","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\prededup_size_name.csv","180518","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\README.md","3794","05/10/2025 9:10:01"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\resumen_por_disco_index_by_hash.csv","147","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\sample_keys.json","627","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\sync-to-github.ps1","3400","05/10/2025 9:10:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\test-inventario.ps1","6988","08/10/2025 22:21:46"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\update_pages_inventory.ps1","32011","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\data\inventory.json","62698118","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\dupes_confirmed.csv","137694","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\duplicate_summary.json","174","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\hash_data.bak","3","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\hash_data.csv","36244039","08/10/2025 22:15:09"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\index.html","14798353","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html","62951678","09/10/2025 10:38:41"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak","12715303","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak.20251009-032118","60368684","08/10/2025 22:15:10"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008194640","12715367","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008194854","12715369","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008195149","12715371","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008195745","12716720","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008200356","12724450","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008200808","12716724","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_interactivo_offline.html.bak_20251008201659","12717704","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_min_offline.html","15058902","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html","470499740","09/10/2025 9:50:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html.bak_20251008215822","15062104","08/10/2025 22:14:53"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html.bak_20251008220902","30111425","08/10/2025 22:14:53"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html.bak_20251008225139","30111427","08/10/2025 22:14:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html.bak_20251009094050","161109294","08/10/2025 22:51:41"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_pro_offline.html.bak_20251009095006","306155295","09/10/2025 9:40:56"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventario_standalone.html","20068665","08/10/2025 22:14:53"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventory.json","62698118","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\view.html","2161","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\bridge-inventory-offline.js","1939","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.css","2062","04/10/2025 8:21:01"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.css.bak","2067","05/10/2025 9:10:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js","4922","08/10/2025 22:15:09"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js.bak","10322","05/10/2025 9:10:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js.bak_20251005145649","10322","08/10/2025 22:15:09"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js.bak_20251005150324","1137","08/10/2025 22:15:09"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js.bak_20251008191514","10322","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\assets\inventario.js.bak_20251008191529","11353","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\Codex\codex resume I.txt","57","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\Codex\codex resume J.txt","58","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\Codex\codex resune H.txt","51","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json","180","09/10/2025 10:23:16"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251008225027","15049317","08/10/2025 22:15:09"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251009093913","115951903","08/10/2025 22:51:08"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251009094802","111031960","09/10/2025 9:39:47"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251009101745","111359558","09/10/2025 9:48:37"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251009101828","111359558","09/10/2025 9:48:37"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\data\inventory.json.bak_20251009102315","111494942","09/10/2025 10:19:16"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventory\meta.json","127","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventory\scan_C.csv","31942293","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\inventory\scan_J.csv","4301794","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\mcp\agents.json","1264","04/10/2025 5:54:56"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\mcp\resources.json","1251","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\mcp\tools.json","3524","04/10/2025 5:54:56"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-180538.log","2520","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-181329.log","1040","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-183024.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-184139.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-190109.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-190132.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-190313.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-190414.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-192302.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-192504.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-192629.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-192717.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-192952.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-193734.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-195057.log","1446","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-202931.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251003-203914.log","1056","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-025432.log","1114","04/10/2025 2:54:33"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-033305.log","1114","04/10/2025 3:33:05"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-035318.log","1508","04/10/2025 3:57:17"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-045252.log","556","04/10/2025 4:52:52"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-045512.log","753","04/10/2025 4:56:39"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-045647.log","753","04/10/2025 4:58:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-050403.log","1508","04/10/2025 5:07:33"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-055621.log","1814","04/10/2025 5:57:08"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\inventory-cleaner-20251004-071150.log","1446","04/10/2025 7:15:00"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\make-inventory-wrapper.log","9104","04/10/2025 8:16:21"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\repo-sweep-dryrun-20251003-180538.csv","3","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\logs\repo-sweep-DryRun-20251003-180538.log","968","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\build-hash-data.ps1","6296","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\build-inventory-html.ps1","5983","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\csv-to-inventory-json.ps1","740","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\ensure-viewers.ps1","4578","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\fix-and-reskin.ps1","7521","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\fix-and-run.ps1","7538","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\fix-inventory-json.ps1","8404","09/10/2025 1:21:23"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\Generate-HIJ-Report.ps1","4954","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\generate_duplicates_table.py","31179","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\hash-drive-to-csv.ps1","1634","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\inventory-inject-from-csv.ps1","4835","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\inventory-inject-from-csv.ps1.bak","3153","05/10/2025 16:43:35"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\inventory-wizard.ps1","1624","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\make_inventory_offline.ps1","611","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\merge-scans.ps1","516","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\minify-and-gzip-inventory.ps1","2007","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\Move-I-Duplicates.ps1","7603","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\normalize-inventory-html.ps1","25754","05/10/2025 7:45:08"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\normalize-inventory-html.ps1.bak.20251008-204212","25754","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\Rebuild-HIJ-Inventory.ps1","10650","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\rebuild-inventory.ps1","557","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\Reindex-HIJ.ps1","955","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\reindex_hij.py","14764","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\remove_nonmedia_duplicates.py","3664","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\sanitize-inventory-html.ps1","2534","04/10/2025 5:25:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\scan-drives-interactive.backup.ps1","3112","07/10/2025 13:59:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\scan-drives-interactive.ps1","3942","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\self-test.ps1","3829","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\Sin título.txt","440427","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\sync-to-github.ps1","569","05/10/2025 9:10:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\tmp_part1.txt","16446","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\tmp_part2.txt","16545","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\tmp_part3.txt","16505","01/10/2025 19:29:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\update-inventory-embed.ps1","1161","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\agents\inventory-cleaner.ps1","5831","04/10/2025 5:54:56"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\agents\make-inventory-offline-wrapper.ps1","8585","05/10/2025 7:45:08"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\agents\repo-sweep.ps1","5894","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\common\media-filter.ps1","378","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\templates\inventory_offline.css","6644","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\templates\inventory_offline.js","19220","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\templates\inventory_template.html","2203","04/10/2025 2:45:06"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\_backup_20251007_001837\inventory-inject-from-csv.ps1","4561","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\tools\_backup_20251007_001837\scan-drives-interactive.ps1","3121","08/10/2025 22:15:12"
